127.0.0.1 - - [04/May/2024:09:52:43 -0500] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [04/May/2024:09:52:45 -0500] "GET /Yape/Login.jsp HTTP/1.1" 200 2218
0:0:0:0:0:0:0:1 - - [04/May/2024:09:52:45 -0500] "GET /Yape/Resources/YAPE-LOGO.png HTTP/1.1" 200 26157
0:0:0:0:0:0:0:1 - - [04/May/2024:09:52:45 -0500] "GET /Yape/Resources/bootstrap.min.css HTTP/1.1" 200 232803
0:0:0:0:0:0:0:1 - - [04/May/2024:09:52:45 -0500] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [04/May/2024:09:54:05 -0500] "POST /Yape/Servlet HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [04/May/2024:09:54:11 -0500] "POST /Yape/Servlet HTTP/1.1" 200 141876
0:0:0:0:0:0:0:1 - - [04/May/2024:10:02:49 -0500] "POST /Yape/Servlet HTTP/1.1" 200 146431
0:0:0:0:0:0:0:1 - - [04/May/2024:10:03:22 -0500] "POST /Yape/Servlet HTTP/1.1" 200 147328
0:0:0:0:0:0:0:1 - - [04/May/2024:10:04:50 -0500] "POST /Yape/Servlet HTTP/1.1" 200 147328
0:0:0:0:0:0:0:1 - - [04/May/2024:10:05:11 -0500] "POST /Yape/Servlet HTTP/1.1" 200 147328
0:0:0:0:0:0:0:1 - - [04/May/2024:10:05:37 -0500] "POST /Yape/Servlet HTTP/1.1" 200 5054
0:0:0:0:0:0:0:1 - - [04/May/2024:10:05:39 -0500] "POST /Yape/Servlet HTTP/1.1" 200 149543
0:0:0:0:0:0:0:1 - - [04/May/2024:10:05:59 -0500] "POST /Yape/Servlet HTTP/1.1" 200 2218
0:0:0:0:0:0:0:1 - - [04/May/2024:10:06:10 -0500] "POST /Yape/Servlet HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [04/May/2024:10:06:19 -0500] "POST /Yape/Servlet HTTP/1.1" 200 1705
0:0:0:0:0:0:0:1 - - [04/May/2024:10:06:20 -0500] "GET /Yape/Servlet?type=Volver HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [04/May/2024:10:06:20 -0500] "POST /Yape/Servlet HTTP/1.1" 200 8501
